Блок,ID,Название (Title):,Описание (Summary):,Приоритет (Priority),Предусловия (Preconditions),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):
,,,,,,4. Нажать на кнопку меню (три полоски слева),"4. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,5. Нажать на кнопку About,"5. Переход в раздел о приложении. указана версия мп, политика приватности, условия использования с активной ссылкой. Активная кнопка назад. Нет активный кнопки Love is all"
,28,Переход в раздел Love is all из раздела Control Panel,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4. Нажать на кнопку меню (три полоски слева),"4. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,5. Нажать на кнопку News,"5. Переход в раздел News. Содержит активные кнопки сортировка по убыванию, фильтр по категории и дате, создание новости."
,,,,,,6 Нажать на кнопку (блокнот и ручка),6 Открылось окно Control panel
,,,,,,7 Нажать на кнопку анимированную (бабочка),7 Открылось окно Love is all с цитатами 
,29,Переход в раздел Love is all из раздела News,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4. Нажать на кнопку меню (три полоски слева),"4. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,5. Нажать на кнопку News,"5. Переход в раздел News. Содержит активные кнопки сортировка по убыванию, фильтр по категории и дате, создание новости."
,,,,,,6 Нажать на кнопку анимированную (бабочка),6 Открылось окно Love is all с цитатами 
,30,Переход в раздел Love is all из раздела Main,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку анимированную (бабочка),4 Открылось окно Love is all с цитатами 
,,,,,,5. Нажать на кнопку News,"5. Переход в раздел News. Содержит активные кнопки сортировка по убыванию, фильтр по категории и дате, создание новости."
,,,,,,6. Нажать на кнопку меню (три полоски слева),"6. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,7. Нажать на кнопку About,"7. Переход в раздел о приложении. указана версия мп, политика приватности? условия использования с активной ссылкой."
,,,,,,8. Нажать на кнопку меню (три полоски слева),"8. Открылось окно с выбором  разделов, где About задизеблен,  News и Main активные."
Выход из приложения из разделов,31,Выход из акаунта из раздела Love ia all,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку анимированную (бабочка),4 Открылось окно Love is all с цитатами 
,,,,,,5. Нажать на иконку человека справа,5. Вышло окно Log out
,,,,,,6. Нажать на Log out,6. открылось окно авторизации
,32,Выход из акаунта из раздела Main,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,5. Нажать на иконку человека справа,5. Вышло окно Log out
,,,,,,6. Нажать на Log out,6. открылось окно авторизации
,33,Выход из акаунта из раздела Control Panel,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,5. Нажать на меню(три полоски) выбрать раздел News,5. Вышло окно News
,,,,,,6. Нажать на кнопку (блокнот и ручка),6. Открылось окно Control Panel
,,,,,,7. Нажать на иконку человека справа,7. Вышло окно Log out
,,,,,,8. Нажать на Log out,8. открылось окно авторизации
,34,Выход из акаунта из раздела News,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,5. Нажать на меню(три полоски) выбрать раздел News,5. Вышло окно News
,,,,,,5. Нажать на иконку человека справа,5. Вышло окно Log out
,,,,,,6. Нажать на Log out,6. открылось окно авторизации
,35,Выход из акаунта из раздела About,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4. Нажать на меню(три полоски) выбрать раздел About,"4. Переход в раздел о приложении. указана версия мп, политика приватности, условия использования с активной ссылкой. Активная кнопка назад. Нет активный кнопки Log out"
